Sample,districts,collection_location,water_source,latitude,longitude,tubes_positive_coliforms,tubes_positive_e.coli,coliform_mpn_100mL,e_coli_mpn_100mL,ecoli_risk_level,coliform_risk_level
135,Temeke,Kibonde Maji,Public Tap,-6.915155,39.278447,0,0,2.2,2.2,Low Risk,Low Risk
136,Kinondoni,Kigogo,Stream,-6.819077,39.254222,5,5,16,16,Intermediate Risk,Intermediate Risk
137,Kinondoni,Kigogo,Stream,-6.819928,39.255245,5,5,16,16,Intermediate Risk,Intermediate Risk
138,Kinondoni,Kigogo,Stream,-6.819492,39.253932,5,5,16,16,Intermediate Risk,Intermediate Risk
139,Kinondoni,Kigogo,Stream,-6.81964,39.253635,5,5,16,16,Intermediate Risk,Intermediate Risk
140,Kinondoni,Kigogo,Stream,-6.81964,39.253635,5,5,16,16,Intermediate Risk,Intermediate Risk
141,Kinondoni,Kigogo,Open Well,-6.819791,39.253606,5,5,16,16,Intermediate Risk,Intermediate Risk
142,Kinondoni,Kigogo,Open Well,-6.819502,39.256868,5,5,16,16,Intermediate Risk,Intermediate Risk
143,Kinondoni,Kigogo,Open Well,-6.820767,39.252028,5,4,16,16,Intermediate Risk,Intermediate Risk
144,Kinondoni,Kigogo,Open Well,-6.820767,39.25204,5,5,16,16,Intermediate Risk,Intermediate Risk
149,Kinondoni,Ndugumbi,Borehole,-6.803399,39.250003,5,2,16,5.1,Low Risk,Intermediate Risk
153,Kinondoni,Ndugumbi,Borehole,-6.800969,39.252832,5,0,16,2.2,Low Risk,Intermediate Risk
154,Kinondoni,Ndugumbi,Borehole,-6.800969,39.252833,5,0,16,2.2,Low Risk,Intermediate Risk
156,Kinondoni,Magomeni,Borehole,-6.803389,39.257391,5,0,16,2.2,Low Risk,Intermediate Risk
157,Kinondoni,Magomeni,Borehole,-6.803389,39.257382,5,0,16,2.2,Low Risk,Intermediate Risk
158,Kinondoni,Magomeni,Borehole,-6.800642,39.258041,0,0,2.2,2.2,Low Risk,Low Risk
160,Kinondoni,Magomeni,Open Well,-6.799912,39.256384,5,0,16,2.2,Low Risk,Intermediate Risk
161,Kinondoni,Magomeni,Open Well,-6.799912,39.257385,5,5,16,16,Intermediate Risk,Intermediate Risk
162,Kinondoni,Magomeni,Open Well,-6.799912,39.255383,5,5,16,16,Intermediate Risk,Intermediate Risk
163,Kinondoni,Magomeni,Open Well,-6.799863,39.256387,5,5,16,16,Intermediate Risk,Intermediate Risk
